analysis_tag,dataset,cell_type,cell_count,rarity_group,panel_mode,sample_size,n_edges,n_tfs,n_targets,stability_spearman_mean,stability_spearman_std,topk_jaccard_mean,topk_jaccard_std,null_auc_mean,null_auc_std,null_auc_cellperm_mean,null_auc_cellperm_std,null_auc_geneshuffle_mean,null_auc_geneshuffle_std,null_auc_conservative_mean,null_auc_conservative_std,null_tail_gap_mean,null_tail_gap_std,null_tail_gap_cellperm_mean,null_tail_gap_cellperm_std,null_tail_gap_geneshuffle_mean,null_tail_gap_geneshuffle_std,null_tail_gap_conservative_mean,null_tail_gap_conservative_std,mean_detected_genes,tf_detection_rate,target_detection_rate,median_tf_variance,is_reliable,failure_mode
adaptive_panel,lung,adventitial cell,581,intermediate,adaptive_panel,465,409,77,243,0.8842859317348946,0.025170504820582393,0.7175111973906725,0.0366703580564299,0.544026592978282,0.0039811068665056145,0.544026592978282,0.0039811068665056145,0.5001942838696565,0.009626843783466362,0.5001942838696565,0.009626843783466362,0.028957929462194443,0.013243099336317088,0.028957929462194443,0.013243099336317088,-0.2914847321808338,0.058445606395821983,-0.2914847321808338,0.058445606395821983,50.407917383821,0.22350626997787065,0.1704808652599817,0.11053592711687088,False,Null-overlap (weak signal)
adaptive_panel,lung,non-classical monocyte,527,intermediate,adaptive_panel,422,409,77,243,0.9071593099805142,0.027844770540699,0.7185365968020717,0.03555276541478453,0.5819347385536912,0.006208522825204342,0.5819347385536912,0.006208522825204342,0.5335827141157694,0.008566229785821939,0.5335827141157694,0.008566229785821939,0.07965729758143425,0.006389489324931967,0.07965729758143425,0.006389489324931967,-0.210614126175642,0.08299029480478107,-0.210614126175642,0.08299029480478107,45.44592030360531,0.1632864289410779,0.16601463365115063,0.040281832218170166,False,Null-overlap (weak signal)
adaptive_panel,lung,monocyte,506,rare,adaptive_panel,405,409,77,243,0.9362953467398036,0.015930549569676627,0.7708922898762111,0.027322218405938115,0.5827387748758078,0.005484413068287095,0.5827387748758078,0.005484413068287095,0.5314855691919584,0.00752999120554162,0.5314855691919584,0.00752999120554162,0.058990382589399815,0.015519578715586709,0.058990382589399815,0.015519578715586709,-0.14688684046268463,0.03320592269864096,-0.14688684046268463,0.03320592269864096,45.25494071146245,0.16800985575689134,0.16225052456936515,0.03713174909353256,False,Null-overlap (weak signal)
adaptive_panel,lung,neutrophil,371,rare,adaptive_panel,297,409,77,243,0.8613004863916675,0.03690314044515356,0.6401106422317916,0.045226928833489353,0.5241083864874074,0.006301876041947002,0.5241083864874074,0.006301876041947002,0.5091892534119237,0.009884016163502516,0.5079977702189729,0.00800581928870983,-0.05844369251281023,0.011387991110602009,-0.05844369251281023,0.011387991110602009,-0.1285284822806716,0.04860478010648226,-0.12940476182848215,0.04740188291032364,31.840970350404312,0.09192424825848007,0.11824343061240336,0.029696054756641388,False,Null-overlap (weak signal)
adaptive_panel,lung,endothelial cell of lymphatic vessel,315,rare,adaptive_panel,252,409,77,243,0.8408690431328606,0.037773545188450594,0.6154706663779173,0.057785363437472495,0.5263415301199778,0.004913554329395965,0.5263415301199778,0.004913554329395965,0.5171410680232662,0.011603071663118806,0.5155976321279763,0.00947598448259968,-0.017237775027751923,0.018769120384539976,-0.017237775027751923,0.018769120384539976,-0.14694867096841335,0.05737589249177112,-0.14694867096841335,0.05737589249177112,43.84761904761905,0.23487940630797774,0.15140113658632176,0.025200223550200462,False,Null-overlap (weak signal)
adaptive_panel,lung,bronchial smooth muscle cell,220,rare,adaptive_panel,176,409,77,243,0.8610946264102769,0.03731784515178307,0.6385841907784908,0.04340705830374111,0.5235479522480139,0.0023348626394591276,0.5235479522480139,0.0023348626394591276,0.5201281825192341,0.010921631150824463,0.51684179613943,0.006677105663126907,-0.04669008031487465,0.015722351793233183,-0.04669008031487465,0.015722351793233183,-0.15786304883658886,0.04017260432746119,-0.15786304883658886,0.04017260432746119,36.32727272727273,0.15974025974025974,0.12510288065843622,0.07837799191474915,False,Null-overlap (weak signal)
adaptive_panel,lung,mature NK T cell,163,rare,adaptive_panel,130,409,77,243,0.9196214887110132,0.018654812125672365,0.7293531465623302,0.040522712660751435,0.5025200859631398,0.0030583209734349154,0.5025200859631398,0.0030583209734349154,0.5225963349095235,0.0059791945814298446,0.5025200859631398,0.0030583209734349154,-0.09976196009665728,0.01800387736686828,-0.09976196009665728,0.01800387736686828,-0.14188495837152004,0.03507727285431695,-0.14437209628522396,0.033575751457277515,28.94478527607362,0.14182136881523386,0.09528137544497463,0.0,False,Null-overlap (weak signal)
adaptive_panel,lung,plasma cell,148,rare,adaptive_panel,118,409,77,243,0.8793516720724595,0.032387733746591055,0.639054390951355,0.051921485456928373,0.5185825048869865,0.007830658696624263,0.5185825048869865,0.007830658696624263,0.5130054369593677,0.01565894445297778,0.5096394689175698,0.01365211803008283,-0.0950284544378519,0.11328873006561994,-0.0950284544378519,0.11328873006561994,-0.22140195220708847,0.07944484326344937,-0.24494525231420994,0.09374888863347933,26.33783783783784,0.10266760266760266,0.09442776109442776,0.04909985885024071,False,Null-overlap (weak signal)
adaptive_panel,lung,vascular associated smooth muscle cell,131,rare,adaptive_panel,105,409,77,243,0.8843628558435108,0.03266881481790238,0.6215775549215428,0.044030399602077816,0.5121098630448169,0.004988607275187205,0.5121098630448169,0.004988607275187205,0.5090016947531399,0.012495998039616082,0.50587185633754,0.008242233902916129,-0.09525926038622856,0.041562925555751654,-0.09525926038622856,0.041562925555751654,-0.20386837050318718,0.02385070484112765,-0.2053978145122528,0.022187864666953664,44.16030534351145,0.21849905819371468,0.1466402789558006,0.10965898633003235,False,Null-overlap (weak signal)
adaptive_panel,immune,B cell,3762,abundant,adaptive_panel,3010,727,80,317,0.8731398253608816,0.016895550332616648,0.7133735653030361,0.037792449282785044,0.5939607855008902,0.004490400868916008,0.5939607855008902,0.004490400868916008,0.5311474157520212,0.007562392012507367,0.5311474157520212,0.007562392012507367,0.05210774810984731,0.005940442966895287,0.05210774810984731,0.005940442966895287,-0.08581549115478992,0.03916184667754246,-0.08581549115478992,0.03916184667754246,45.24401913875598,0.24417530568846357,0.11498850366524282,0.15760856866836548,False,Null-overlap (weak signal)
