experiment,panel,train_donor_count,holdout_donor_count,train_donors,holdout_donors,split_idx,n_train_cells,n_holdout_cells,n_train_donors,n_holdout_donors,pearson_r,spearman_rho,mean_abs_score_delta,sign_agreement,overlap_at_50,null_overlap_at_50,lift_at_50,overlap_at_100,null_overlap_at_100,lift_at_100,overlap_at_250,null_overlap_at_250,lift_at_250,overlap_at_500,null_overlap_at_500,lift_at_500,panel_variant
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP2;TSP21;TSP27,TSP25;TSP7,5,372,124,6,2,0.7492489218711853,0.5967667262596852,0.07621334493160248,0.6129385964912281,0.58,0.0060916179337231965,95.2128,0.52,0.012183235867446393,42.6816,0.596,0.030458089668615983,19.567872,0.618,0.060916179337231965,10.145088000000001,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP2;TSP21;TSP25;TSP27,TSP14;TSP7,6,372,124,6,2,0.7249258756637573,0.5715698228072089,0.08011245727539062,0.6247563352826511,0.58,0.0060916179337231965,95.2128,0.55,0.012183235867446393,45.144000000000005,0.588,0.030458089668615983,19.305216,0.584,0.060916179337231965,9.586944,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP2;TSP21;TSP25,TSP27;TSP7,7,372,124,6,2,0.7299631834030151,0.5734604749999819,0.07870349287986755,0.6276803118908382,0.58,0.0060916179337231965,95.2128,0.55,0.012183235867446393,45.144000000000005,0.584,0.030458089668615983,19.173888,0.61,0.060916179337231965,10.01376,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP2;TSP25;TSP27;TSP7,TSP14;TSP21,8,372,124,6,2,0.7401551008224487,0.5919219185628928,0.07568219304084778,0.633650097465887,0.58,0.0060916179337231965,95.2128,0.54,0.012183235867446393,44.32320000000001,0.592,0.030458089668615983,19.436544,0.614,0.060916179337231965,10.079424000000001,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP2;TSP27;TSP7,TSP21;TSP25,9,372,124,6,2,0.7476609349250793,0.6029914597039078,0.0740915909409523,0.607943469785575,0.58,0.0060916179337231965,95.2128,0.54,0.012183235867446393,44.32320000000001,0.588,0.030458089668615983,19.305216,0.63,0.060916179337231965,10.342080000000001,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP21;TSP25;TSP7,TSP2;TSP27,10,372,124,6,2,0.7432155013084412,0.6047502494273486,0.07407206296920776,0.6541179337231969,0.52,0.0060916179337231965,85.3632,0.55,0.012183235867446393,45.144000000000005,0.572,0.030458089668615983,18.779904,0.628,0.060916179337231965,10.309248,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP10;TSP14;TSP21;TSP25;TSP27;TSP7,TSP1;TSP2,11,372,124,6,2,0.7356408834457397,0.5996290868826827,0.07753349840641022,0.616593567251462,0.52,0.0060916179337231965,85.3632,0.52,0.012183235867446393,42.6816,0.548,0.030458089668615983,17.991936000000003,0.576,0.060916179337231965,9.455616,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP21;TSP25;TSP27;TSP7,TSP14;TSP2,12,372,124,6,2,0.7520283460617065,0.6009093129858234,0.07494010776281357,0.6412037037037037,0.6,0.0060916179337231965,98.496,0.51,0.012183235867446393,41.860800000000005,0.572,0.030458089668615983,18.779904,0.634,0.060916179337231965,10.407744000000001,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP2;TSP21;TSP7,TSP25;TSP27,13,372,124,6,2,0.7335214614868164,0.5859682016904998,0.07808669656515121,0.6314571150097466,0.52,0.0060916179337231965,85.3632,0.55,0.012183235867446393,45.144000000000005,0.544,0.030458089668615983,17.860608000000003,0.606,0.060916179337231965,9.948096,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP2;TSP21;TSP25;TSP27;TSP7,TSP10;TSP14,14,372,124,6,2,0.7374283671379089,0.5904160976580548,0.08034197986125946,0.6490009746588694,0.62,0.0060916179337231965,101.7792,0.55,0.012183235867446393,45.144000000000005,0.604,0.030458089668615983,19.830528,0.6,0.060916179337231965,9.8496,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP25;TSP27;TSP7,TSP2;TSP21,15,372,124,6,2,0.7462710738182068,0.59317492760357,0.07368091493844986,0.6332846003898636,0.62,0.0060916179337231965,101.7792,0.59,0.012183235867446393,48.4272,0.612,0.030458089668615983,20.093184,0.642,0.060916179337231965,10.539072,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP10;TSP14;TSP2;TSP21;TSP25;TSP7,TSP1;TSP27,16,372,124,6,2,0.7101974487304688,0.57101596826856,0.08228501677513123,0.6262183235867447,0.42,0.0060916179337231965,68.9472,0.5,0.012183235867446393,41.04,0.544,0.030458089668615983,17.860608000000003,0.55,0.060916179337231965,9.0288,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP21;TSP25;TSP27,TSP2;TSP7,17,372,124,6,2,0.695903480052948,0.5472269725306369,0.08325136452913284,0.6206140350877193,0.58,0.0060916179337231965,95.2128,0.51,0.012183235867446393,41.860800000000005,0.536,0.030458089668615983,17.597952000000003,0.576,0.060916179337231965,9.455616,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP14;TSP2;TSP21;TSP25;TSP27,TSP10;TSP7,18,372,124,6,2,0.7316447496414185,0.5812909269286816,0.08020661026239395,0.6425438596491229,0.54,0.0060916179337231965,88.64640000000001,0.59,0.012183235867446393,48.4272,0.592,0.030458089668615983,19.436544,0.606,0.060916179337231965,9.948096,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP10;TSP14;TSP2;TSP25;TSP27;TSP7,TSP1;TSP21,19,372,124,6,2,0.7453978657722473,0.6035540945059731,0.0744650587439537,0.5995370370370371,0.52,0.0060916179337231965,85.3632,0.53,0.012183235867446393,43.5024,0.544,0.030458089668615983,17.860608000000003,0.588,0.060916179337231965,9.652608,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP2;TSP25;TSP27,TSP21;TSP7,20,372,124,6,2,0.6941413879394531,0.5421459648606695,0.08118818700313568,0.5967348927875243,0.52,0.0060916179337231965,85.3632,0.49,0.012183235867446393,40.2192,0.528,0.030458089668615983,17.335296000000003,0.562,0.060916179337231965,9.225792000000002,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP10;TSP14;TSP2;TSP21;TSP27;TSP7,TSP1;TSP25,21,372,124,6,2,0.7188431024551392,0.5807118018867459,0.08058754354715347,0.5933235867446394,0.38,0.0060916179337231965,62.3808,0.48,0.012183235867446393,39.3984,0.532,0.030458089668615983,17.466624000000003,0.564,0.060916179337231965,9.258624,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP14;TSP2;TSP21;TSP25;TSP7,TSP10;TSP27,22,372,124,6,2,0.735417902469635,0.5856424856276159,0.07934896647930145,0.6430311890838206,0.48,0.0060916179337231965,78.7968,0.55,0.012183235867446393,45.144000000000005,0.604,0.030458089668615983,19.830528,0.626,0.060916179337231965,10.276416000000001,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP14;TSP21;TSP25;TSP27;TSP7,TSP10;TSP2,23,372,124,6,2,0.7567355632781982,0.6195930536323274,0.07476438581943512,0.6711744639376218,0.56,0.0060916179337231965,91.92960000000001,0.59,0.012183235867446393,48.4272,0.616,0.030458089668615983,20.224512,0.624,0.060916179337231965,10.243584,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP2;TSP21;TSP27;TSP7,TSP14;TSP25,24,372,124,6,2,0.7572176456451416,0.6062773103059972,0.07529991120100021,0.6208576998050682,0.52,0.0060916179337231965,85.3632,0.57,0.012183235867446393,46.785599999999995,0.624,0.030458089668615983,20.487168,0.616,0.060916179337231965,10.112256,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP14;TSP2;TSP21;TSP27;TSP7,TSP10;TSP25,25,372,124,6,2,0.740068256855011,0.601556284976669,0.07912463694810867,0.6494883040935673,0.46,0.0060916179337231965,75.51360000000001,0.52,0.012183235867446393,42.6816,0.54,0.030458089668615983,17.729280000000003,0.59,0.060916179337231965,9.68544,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP14;TSP2;TSP25;TSP7,TSP21;TSP27,26,372,124,6,2,0.7275668382644653,0.5715091255958165,0.07657472789287567,0.6206140350877193,0.6,0.0060916179337231965,98.496,0.59,0.012183235867446393,48.4272,0.572,0.030458089668615983,18.779904,0.622,0.060916179337231965,10.210752000000001,top8_celltype_matched
immune_top8_celltype_matched_train6_holdout2,immune_top8_cells300_celltype_matched,6,2,TSP1;TSP10;TSP2;TSP21;TSP25;TSP7,TSP14;TSP27,27,372,124,6,2,0.7167978882789612,0.5607276759849574,0.08110925555229187,0.6282894736842105,0.56,0.0060916179337231965,91.92960000000001,0.52,0.012183235867446393,42.6816,0.584,0.030458089668615983,19.173888,0.592,0.060916179337231965,9.718272,top8_celltype_matched
